ID,Name,Gender,Age,Height (cm),Weight (kg),Country,Continent,Year,Season,Sport,Event,Medal
673,Victor de Laveleye,Male,26,193,90,USA,North America,1992,Summer,Gymnastics,Vault,
674,Robert Grisar,Female,34,157,52,India,Asia,1992,Summer,Football,Women's Football,
675,Stéphane Halot,Male,27,181,93,Russia,Europe,1992,Summer,Football,Men's Football,
676,Marie Janssen,Female,34,168,54,South Korea,Asia,1992,Summer,Gymnastics,Floor Exercise,Gold
677,André Laloux,Female,26,156,67,Spain,Europe,1992,Winter,Ice Hockey,Men's Ice Hockey,Bronze
678,René Laloux,Female,32,156,74,South Africa,Africa,1992,Summer,Basketball,Men's Tournament,
679,Albert Lammens,Male,36,199,71,Russia,Europe,1992,Winter,Skiing,Cross-Country,Silver
680,Jean-Michel Saive,Female,23,197,86,Brazil,South America,1992,Summer,Weightlifting,Men's 77kg,Gold
681,Philippe Saive,Male,38,190,57,Italy,Europe,1992,Winter,Skiing,Alpine Skiing,
682,Pedro Vanneste,Female,33,178,94,Australia,Oceania,1992,Summer,Swimming,200m Butterfly,Gold
683,Jean Washer,Female,35,166,97,Brazil,South America,1992,Winter,Ice Hockey,Men's Ice Hockey,
684,Steve Alger,Male,20,172,96,Australia,Oceania,1992,Summer,Basketball,Men's Tournament,Silver
685,Tarik Hodžić,Male,40,179,81,USA,North America,1992,Summer,Gymnastics,Floor Exercise,Bronze
686,Volha Barabanshchykava,Female,29,155,55,South Africa,Africa,1992,Winter,Ice Hockey,Women's Ice Hockey,Bronze
687,Ulada Charniauskaya,Female,34,185,95,France,Europe,1992,Summer,Gymnastics,Floor Exercise,Gold
688,Natasha Zverava,Male,37,200,91,Italy,Europe,1992,Summer,Basketball,Men's Tournament,
689,Yauhen Shchatinin,Male,36,185,120,China,Asia,1992,Summer,Basketball,Men's Tournament,
690,Mikhail Korshuk,Male,23,161,112,Spain,Europe,1992,Summer,Basketball,Men's Tournament,Silver
691,Uladzimir Samsonau,Female,18,188,67,Japan,Asia,1992,Winter,Ice Hockey,Women's Ice Hockey,
692,Hedwig Rosenbaum,Female,21,172,86,India,Asia,1992,Summer,Gymnastics,Floor Exercise,Gold
693,Bohuslav Hykš,Female,23,170,80,India,Asia,1992,Summer,Football,Women's Football,Gold
694,Jaroslav Hainz,Male,35,166,61,China,Asia,1992,Summer,Football,Women's Football,
695,Jiří Kodl,Male,39,186,69,USA,North America,1992,Summer,Swimming,200m Butterfly,Gold
696,Josef Gruss,Male,37,156,70,USA,North America,1992,Summer,Football,Men's Football,Silver
697,Josef Šebek,Female,40,158,64,Brazil,South America,1992,Winter,Ice Hockey,Women's Ice Hockey,Gold
698,Jaromír Zeman,Female,20,154,50,India,Asia,1992,Summer,Swimming,100m Freestyle,
699,Cláudia Chabalgoity,Male,26,172,106,Russia,Europe,1992,Winter,Ice Hockey,Men's Ice Hockey,Silver
700,Miriam D'Agostini,Male,32,168,87,India,Asia,1992,Summer,Basketball,Women's Tournament,
701,Mônica Doti,Female,28,180,67,Spain,Europe,1992,Summer,Football,Women's Football,
702,Lyanne Kosaka,Female,35,158,57,South Korea,Asia,1992,Summer,Swimming,100m Freestyle,Gold
703,Vanessa Menga,Female,40,172,95,Australia,Oceania,1992,Summer,Swimming,100m Freestyle,
704,Gisele Miró,Female,24,172,96,Germany,Europe,1992,Winter,Ice Hockey,Women's Ice Hockey,Silver
705,Ricardo Acioly,Male,38,154,120,Canada,North America,1992,Summer,Football,Men's Football,
706,Andrea Vieira,Female,19,177,109,Germany,Europe,1992,Summer,Athletics,Marathon,
707,Hugo Hoyama,Male,28,189,98,South Korea,Asia,1992,Summer,Football,Men's Football,Silver
708,Cláudio Kano,Male,28,156,103,UK,Europe,1992,Summer,Gymnastics,Floor Exercise,Gold
709,Carlos Kawai,Female,23,180,107,Canada,North America,1992,Winter,Skiing,Cross-Country,Gold
710,Luiz Mattar,Female,40,155,119,Russia,Europe,1992,Summer,Weightlifting,Women's 58kg,
711,Fino Meligeni,Female,33,175,90,South Africa,Africa,1992,Summer,Weightlifting,Women's 58kg,
712,Jaime Oncins,Female,18,175,106,Japan,Asia,1992,Summer,Football,Women's Football,Gold
713,Giuliano Peixoto,Female,30,171,76,Russia,Europe,1992,Summer,Football,Men's Football,Silver
714,Viktoriya Hristova,Female,23,162,102,Russia,Europe,1992,Summer,Weightlifting,Men's 77kg,Bronze
715,Emiliya Dimitrova,Male,35,161,51,India,Asia,1992,Summer,Basketball,Women's Tournament,
716,Diana Filipova,Male,33,184,83,Australia,Oceania,1992,Summer,Football,Women's Football,
717,Daniela Gergelcheva,Male,29,155,108,Australia,Oceania,1992,Summer,Basketball,Women's Tournament,Bronze
718,Diana Koleva-Tsvetanova,Female,19,187,85,USA,North America,1992,Summer,Basketball,Women's Tournament,
719,Katerina Maleeva,Female,23,188,90,Russia,Europe,1992,Winter,Ice Hockey,Women's Ice Hockey,Bronze
720,Maggy Maleeva,Male,32,163,78,Canada,North America,1992,Winter,Skiing,Cross-Country,
721,Neli Nedyalkova-Boteva,Male,38,166,84,South Africa,Africa,1992,Summer,Gymnastics,Vault,
722,Elena Pampulova-Wagner,Male,21,151,86,USA,North America,1992,Summer,Basketball,Men's Tournament,Gold
723,Yasen Borisov,Female,36,199,50,Russia,Europe,1992,Winter,Skiing,Alpine Skiing,
724,Mariano Domuschiev,Female,20,168,116,Spain,Europe,1992,Winter,Ice Hockey,Women's Ice Hockey,Silver
725,Ivan Ivanov,Female,27,194,60,China,Asia,1992,Summer,Weightlifting,Women's 58kg,Silver
726,Theodoros Velkos,Male,35,196,75,South Korea,Asia,1992,Winter,Skiing,Cross-Country,
727,Carling Bassett-Seguso,Male,24,150,58,UK,Europe,1992,Summer,Swimming,100m Freestyle,
728,Petra Cada,Male,35,191,118,Germany,Europe,1992,Summer,Football,Women's Football,
729,Barbara Chiu,Male,24,162,71,Germany,Europe,1992,Summer,Swimming,100m Freestyle,
730,Si-An Deng,Female,25,157,85,India,Asia,1992,Summer,Swimming,200m Butterfly,Gold
731,Mariann Domonkos,Male,30,175,61,Germany,Europe,1992,Summer,Athletics,Marathon,
732,Lijuan Geng,Male,20,185,60,Canada,North America,1992,Summer,Football,Women's Football,Gold
733,Jill Hetherington,Male,26,178,64,Italy,Europe,1992,Summer,Football,Men's Football,Silver
734,Patricia Hy-Boulais,Female,36,166,86,Brazil,South America,1992,Summer,Athletics,100m Sprint,
735,Denyse Julien,Female,27,182,61,Germany,Europe,1992,Summer,Athletics,100m Sprint,
736,Helen Kelesi,Male,19,155,71,Brazil,South America,1992,Summer,Gymnastics,Floor Exercise,
737,Jana Nejedly,Male,18,151,92,USA,North America,1992,Winter,Ice Hockey,Women's Ice Hockey,Bronze
738,Doris Piché,Male,34,158,55,Spain,Europe,1992,Summer,Weightlifting,Women's 58kg,Bronze
739,Rene Simpson-Alter,Female,24,174,107,China,Asia,1992,Summer,Gymnastics,Floor Exercise,Bronze
740,Mike Bitten,Female,38,181,97,Brazil,South America,1992,Summer,Athletics,200m Sprint,
741,Bryan Blanshard,Female,34,182,89,South Africa,Africa,1992,Winter,Skiing,Cross-Country,Bronze
742,Claude Russell-Brown,Male,35,195,60,Spain,Europe,1992,Winter,Skiing,Alpine Skiing,
743,Grant Connell,Male,22,166,51,Germany,Europe,1992,Summer,Swimming,200m Butterfly,Silver
744,Jaimie Dawson,Female,36,151,65,South Africa,Africa,1992,Summer,Swimming,200m Butterfly,
745,John Foulkes,Male,23,163,77,Australia,Oceania,1992,Summer,Weightlifting,Men's 77kg,
746,Brian Gyetko,Female,35,162,98,Japan,Asia,1992,Summer,Basketball,Men's Tournament,
747,Johnny Huang,Male,20,170,63,India,Asia,1992,Summer,Basketball,Women's Tournament,Gold
748,David Humble,Male,24,184,64,Japan,Asia,1992,Summer,Weightlifting,Women's 58kg,Silver
749,Anil Kaul,Male,40,170,104,China,Asia,1992,Winter,Ice Hockey,Women's Ice Hockey,
750,Sébastien Lareau,Male,27,190,117,France,Europe,1992,Summer,Weightlifting,Men's 77kg,Gold
751,Martin Laurendeau,Male,37,165,119,Italy,Europe,1992,Summer,Basketball,Men's Tournament,
752,Sébastien LeBlanc,Female,23,172,106,India,Asia,1992,Summer,Athletics,Marathon,Silver
753,Glenn Michibata,Female,22,166,116,Australia,Oceania,1992,Winter,Skiing,Alpine Skiing,
754,Daniel Nestor,Male,28,190,59,Italy,Europe,1992,Summer,Football,Women's Football,
755,Joe Ng,Female,39,198,104,India,Asia,1992,Winter,Ice Hockey,Women's Ice Hockey,Bronze
756,Horatio Pintea,Male,36,173,72,Australia,Oceania,1992,Summer,Football,Women's Football,
757,Bobby Powell,Male,23,160,95,Italy,Europe,1992,Summer,Athletics,100m Sprint,Silver
758,Chris Pridham,Female,36,192,56,Australia,Oceania,1992,Summer,Gymnastics,Vault,
759,Iain Sydie,Male,31,168,62,Australia,Oceania,1992,Winter,Skiing,Alpine Skiing,Gold
760,Andrew Sznajder,Male,23,182,110,USA,North America,1992,Winter,Ice Hockey,Men's Ice Hockey,
761,Darryl Yung,Female,34,173,50,USA,North America,1992,Winter,Skiing,Alpine Skiing,
762,Paula Cabezas,Male,31,168,101,Canada,North America,1992,Summer,Basketball,Women's Tournament,
763,Bárbara Castro,Female,29,172,105,South Korea,Asia,1992,Summer,Basketball,Women's Tournament,
764,Jacqueline Díaz,Female,18,199,65,Germany,Europe,1992,Summer,Athletics,Marathon,
765,Berta Rodríguez,Female,28,155,82,Russia,Europe,1992,Summer,Weightlifting,Women's 58kg,Silver
766,Paulina Sepúlveda,Female,24,156,99,USA,North America,1992,Summer,Swimming,200m Butterfly,
767,Sofija Tepes,Male,21,182,75,Japan,Asia,1992,Summer,Basketball,Men's Tournament,Bronze
768,Jorge Gambra,Female,37,197,118,South Africa,Africa,1992,Summer,Basketball,Men's Tournament,
769,Augusto Morales,Female,20,158,97,Italy,Europe,1992,Summer,Swimming,100m Freestyle,
770,Marcos Núñez,Female,27,181,104,South Korea,Asia,1992,Summer,Gymnastics,Floor Exercise,
771,Juan Salamanca,Female,30,196,70,Spain,Europe,1992,Winter,Skiing,Cross-Country,Bronze
772,Domingo Torralva,Male,19,150,75,UK,Europe,1992,Summer,Weightlifting,Women's 58kg,
773,Luis Torralva,Female,30,157,116,France,Europe,1992,Summer,Gymnastics,Floor Exercise,Bronze
774,Chen Ying,Female,38,162,113,Germany,Europe,1992,Summer,Swimming,200m Butterfly,Gold
775,Chen Jing,Female,23,175,81,Australia,Oceania,1992,Summer,Athletics,200m Sprint,
776,Chen Zihe,Male,36,180,74,UK,Europe,1992,Summer,Swimming,100m Freestyle,Silver
777,Chen Li,Female,24,168,115,China,Asia,1992,Summer,Weightlifting,Men's 77kg,Gold
778,Deng Yaping,Female,25,156,97,Brazil,South America,1992,Summer,Football,Men's Football,
779,Ge Fei,Male,24,168,54,Australia,Oceania,1992,Summer,Gymnastics,Floor Exercise,Gold
780,Jun Gao,Female,26,180,112,South Korea,Asia,1992,Summer,Football,Men's Football,Bronze
781,Gu Jun,Male,19,154,59,Italy,Europe,1992,Summer,Weightlifting,Women's 58kg,Gold
782,Guan Weizhen,Female,33,175,59,Italy,Europe,1992,Summer,Gymnastics,Vault,Bronze
783,Huang Hua,Male,33,194,89,Spain,Europe,1992,Summer,Gymnastics,Floor Exercise,Silver
784,Ibrahim Al-Idokht,Female,24,176,79,Brazil,South America,1992,Summer,Weightlifting,Men's 77kg,Bronze
785,Phoebe Blair-White,Female,37,182,116,UK,Europe,1992,Summer,Gymnastics,Vault,
786,Hilda Wallis,Male,28,172,59,South Korea,Asia,1992,Summer,Football,Men's Football,Gold
787,Scott Barron,Female,30,155,108,Canada,North America,1992,Summer,Basketball,Men's Tournament,Silver
788,Owen Casey,Female,30,161,113,Australia,Oceania,1992,Winter,Ice Hockey,Women's Ice Hockey,
789,Eoin Collins,Male,36,156,69,Brazil,South America,1992,Summer,Athletics,Marathon,Silver
790,Walter Ireland,Female,35,153,58,Russia,Europe,1992,Summer,Football,Men's Football,
791,D'Arcy McCrea,Male,25,189,89,Brazil,South America,1992,Summer,Athletics,200m Sprint,
792,Abdul Wahab Ali,Female,20,153,88,Russia,Europe,1992,Summer,Athletics,100m Sprint,Bronze
793,Elsa Nielsen,Male,21,154,51,Italy,Europe,1992,Summer,Gymnastics,Floor Exercise,
794,Árni Þór Hallgrímson,Male,23,150,81,Spain,Europe,1992,Summer,Athletics,Marathon,Silver
795,Broddi Kristjánsson,Female,34,189,86,Italy,Europe,1992,Summer,Swimming,200m Butterfly,
796,Ilana Berger,Male,26,174,110,Australia,Oceania,1992,Winter,Skiing,Alpine Skiing,Silver
797,Gilad Bloom,Female,29,153,55,UK,Europe,1992,Summer,Gymnastics,Vault,
798,Amos Mansdorf,Male,29,153,68,Japan,Asia,1992,Summer,Basketball,Women's Tournament,Bronze
799,Shahar Perkiss,Female,30,157,55,UK,Europe,1992,Winter,Skiing,Alpine Skiing,
800,Flyura Bulatova-Abbate,Male,21,182,116,South Korea,Asia,1992,Winter,Ice Hockey,Women's Ice Hockey,Silver
801,Alessia Arisi,Female,36,166,85,Canada,North America,1994,Summer,Athletics,100m Sprint,Bronze
802,Paola Bologna,Male,38,181,91,Spain,Europe,1994,Summer,Basketball,Men's Tournament,
803,Sandra Cecchini,Female,24,189,98,China,Asia,1994,Summer,Gymnastics,Floor Exercise,Gold
804,Silvia Farina-Elia,Female,28,172,96,Germany,Europe,1994,Winter,Ice Hockey,Men's Ice Hockey,
805,Rosetta Gagliardi,Male,38,170,102,Russia,Europe,1994,Winter,Ice Hockey,Women's Ice Hockey,
806,Laura Garrone,Male,36,180,105,Canada,North America,1994,Summer,Basketball,Women's Tournament,
807,Laura Golarsa,Female,21,167,62,Brazil,South America,1994,Summer,Athletics,200m Sprint,Silver
808,Rita Grande,Female,27,199,100,UK,Europe,1994,Summer,Basketball,Women's Tournament,Silver
809,Laura Negrisoli,Female,36,196,114,Brazil,South America,1994,Summer,Football,Women's Football,Silver
810,Giulia Perelli,Male,33,171,68,Russia,Europe,1994,Winter,Skiing,Cross-Country,Gold
811,Katia Piccolini,Male,23,156,85,USA,North America,1994,Summer,Athletics,Marathon,
812,Raffaella Reggi-Concato,Female,23,183,78,UK,Europe,1994,Summer,Athletics,100m Sprint,
813,Adriana Serra-Zanetti,Male,31,150,101,Germany,Europe,1994,Summer,Basketball,Men's Tournament,
814,"Mino, Conte Balbi Di Robecco",Female,37,174,52,Brazil,South America,1994,Winter,Skiing,Alpine Skiing,
815,"Alberto, Conte Bonacossa",Female,19,199,95,Brazil,South America,1994,Summer,Gymnastics,Floor Exercise,Gold
816,Omar Camporese,Male,18,153,111,Italy,Europe,1994,Summer,Gymnastics,Vault,Silver
817,Paolo Canè,Male,28,185,116,Brazil,South America,1994,Summer,Football,Men's Football,Silver
818,Cristiano Caratti,Male,18,172,104,India,Asia,1994,Summer,Football,Women's Football,Silver
819,Cesare Colombo,Male,19,155,97,Brazil,South America,1994,Summer,Gymnastics,Vault,
820,Massimo Costantini,Male,35,198,55,France,Europe,1994,Summer,Weightlifting,Women's 58kg,
821,Uberto De Morpurgo,Female,20,165,67,Australia,Oceania,1994,Winter,Ice Hockey,Women's Ice Hockey,Bronze
822,Renzo Furlan,Female,38,188,93,Brazil,South America,1994,Summer,Gymnastics,Vault,Gold
823,Andrea Gaudenzi,Male,20,176,80,Australia,Oceania,1994,Summer,Gymnastics,Floor Exercise,Gold
824,Diego Nargiso,Female,30,177,88,Russia,Europe,1994,Summer,Basketball,Men's Tournament,
825,Stefano Pescosolido,Female,31,154,80,Italy,Europe,1994,Winter,Ice Hockey,Men's Ice Hockey,
826,Clemente Serventi,Male,25,153,89,Japan,Asia,1994,Summer,Gymnastics,Vault,
827,Michael Hyatt,Female,22,190,69,Russia,Europe,1994,Summer,Football,Men's Football,Silver
828,Stephen Hylton,Female,32,160,75,South Korea,Asia,1994,Summer,Athletics,Marathon,
829,Garfield Jones,Male,34,161,120,South Korea,Asia,1994,Summer,Weightlifting,Women's 58kg,
830,Nadia Al-Hindi,Female,22,196,50,Japan,Asia,1994,Summer,Gymnastics,Vault,
831,Jaklein Al-Duqom,Male,33,187,96,Canada,North America,1994,Winter,Ice Hockey,Women's Ice Hockey,Gold
832,Kimiko Date,Male,37,199,119,Japan,Asia,1994,Summer,Football,Men's Football,Silver
833,Mana Endo,Male,34,151,95,UK,Europe,1994,Winter,Skiing,Cross-Country,
834,Mika Hoshino,Female,38,169,53,Italy,Europe,1994,Summer,Weightlifting,Women's 58kg,Bronze
835,Etsuko Inoue,Male,36,185,113,Russia,Europe,1994,Summer,Basketball,Men's Tournament,Bronze
836,Kiyomi Ishida,Male,35,165,101,Russia,Europe,1994,Summer,Weightlifting,Men's 77kg,
837,Kimiko Jinnai,Female,20,175,69,France,Europe,1994,Summer,Basketball,Men's Tournament,
838,Maya Kidowaki,Male,21,153,70,Spain,Europe,1994,Winter,Ice Hockey,Women's Ice Hockey,Silver
839,Harumi Kohara,Female,37,171,53,Canada,North America,1994,Summer,Gymnastics,Floor Exercise,Bronze
840,Chire Koyama,Female,40,163,74,South Korea,Asia,1994,Winter,Ice Hockey,Women's Ice Hockey,
841,Yukino Matsumoto,Female,27,181,113,Japan,Asia,1994,Winter,Skiing,Alpine Skiing,
842,Tomomi Matsuo,Female,31,182,68,France,Europe,1994,Summer,Swimming,100m Freestyle,
843,Akiko Miyamura,Male,37,177,95,South Korea,Asia,1994,Summer,Basketball,Women's Tournament,Bronze
844,Aiko Miyamura,Female,35,198,77,Brazil,South America,1994,Winter,Ice Hockey,Women's Ice Hockey,
845,Hisako Mizui,Male,28,155,76,USA,North America,1994,Summer,Athletics,100m Sprint,
846,Yasuko Mizui,Female,20,199,91,Russia,Europe,1994,Summer,Gymnastics,Floor Exercise,Bronze
847,Hisako Mori,Male,27,172,103,South Korea,Asia,1994,Summer,Weightlifting,Women's 58kg,Bronze
848,Kyoko Nagatsuka,Male,33,163,74,China,Asia,1994,Summer,Gymnastics,Vault,Bronze
849,Kumiko Okamoto,Female,39,172,93,China,Asia,1994,Summer,Weightlifting,Women's 58kg,
850,Kyoko Sasage,Male,28,171,115,Australia,Oceania,1994,Summer,Football,Men's Football,Silver
851,Rika Sato,Male,38,168,99,Russia,Europe,1994,Summer,Football,Women's Football,Silver
852,Naoko Sawamatsu,Male,38,175,52,UK,Europe,1994,Winter,Skiing,Cross-Country,Silver
853,Ai Sugiyama,Male,20,196,96,India,Asia,1994,Summer,Athletics,200m Sprint,
854,Kyoko Uchiyama,Male,24,163,53,Russia,Europe,1994,Summer,Athletics,100m Sprint,Bronze
855,Fumiyo Yamashita-Kaizu,Male,32,151,68,Brazil,South America,1994,Summer,Gymnastics,Floor Exercise,
856,Masanosuke Fukuda,Female,27,159,73,Brazil,South America,1994,Winter,Skiing,Cross-Country,Silver
857,Takeichi Harada,Male,19,200,75,Canada,North America,1994,Summer,Football,Men's Football,
858,Asaji Honda,Male,35,178,105,Spain,Europe,1994,Summer,Football,Women's Football,Gold
859,Satoshi Iwabuchi,Female,27,197,89,Spain,Europe,1994,Winter,Ice Hockey,Women's Ice Hockey,Silver
860,Seiichiro Kashio,Male,39,190,93,Germany,Europe,1994,Summer,Weightlifting,Men's 77kg,Bronze
861,Ichiya Kumagae,Female,31,185,110,Australia,Oceania,1994,Summer,Swimming,200m Butterfly,Silver
862,Fumihiko Machida,Female,30,183,117,Canada,North America,1994,Winter,Skiing,Cross-Country,Bronze
863,Shuji Matsuno,Female,26,200,88,Italy,Europe,1994,Winter,Ice Hockey,Women's Ice Hockey,Silver
864,Shuzo Matsuoka,Female,27,183,91,USA,North America,1994,Summer,Weightlifting,Women's 58kg,Silver
865,Koji Matsushita,Female,39,192,79,Brazil,South America,1994,Summer,Football,Women's Football,Bronze
866,Shinji Matsuura,Male,33,194,85,Brazil,South America,1994,Summer,Gymnastics,Vault,
867,Koji Miya,Female,38,165,107,Australia,Oceania,1994,Summer,Football,Men's Football,Silver
868,Yoshihito Miyazaki,Female,34,181,100,Brazil,South America,1994,Summer,Swimming,200m Butterfly,Gold
869,Hideaki Motoyama,Female,20,163,97,India,Asia,1994,Winter,Skiing,Alpine Skiing,
870,Kinjiro Nakamura,Female,18,183,119,India,Asia,1994,Summer,Gymnastics,Floor Exercise,
871,Sunao Okamoto,Male,38,169,70,India,Asia,1994,Summer,Football,Men's Football,Silver
872,Seiji Ono,Female,36,186,74,France,Europe,1994,Winter,Skiing,Alpine Skiing,
873,Kiyoshi Saito,Male,30,199,98,South Africa,Africa,1994,Summer,Weightlifting,Men's 77kg,
874,Masako Sakamoto,Male,35,183,96,UK,Europe,1994,Winter,Skiing,Alpine Skiing,
875,Hiroshi Shibutani,Male,31,162,76,Russia,Europe,1994,Winter,Ice Hockey,Women's Ice Hockey,Bronze
876,Takao Suzuki,Female,30,190,119,Germany,Europe,1994,Summer,Gymnastics,Vault,
877,Toshio Tasaki,Female,32,172,105,Germany,Europe,1994,Summer,Gymnastics,Floor Exercise,Gold
878,Toshihisa Tsuchihashi,Female,26,158,85,South Africa,Africa,1994,Winter,Ice Hockey,Men's Ice Hockey,
879,Takehiro Watanabe,Female,25,150,57,Japan,Asia,1994,Summer,Basketball,Men's Tournament,Silver
880,Ryo Yuzawa,Female,34,159,112,Australia,Oceania,1994,Summer,Football,Women's Football,Gold
881,Bang Su-Hyeon,Female,35,196,94,Australia,Oceania,1994,Summer,Football,Women's Football,Bronze
882,Choi Yeong-Ja,Male,23,162,100,Spain,Europe,1994,Summer,Weightlifting,Men's 77kg,Silver
883,Jeong Jae-Hui,Male,21,172,96,Brazil,South America,1994,Summer,Gymnastics,Vault,Gold
884,Jeong So-Yeong,Male,37,156,80,Japan,Asia,1994,Summer,Basketball,Women's Tournament,Bronze
885,Gil Yeong-Ah,Female,26,160,56,Italy,Europe,1994,Summer,Gymnastics,Vault,
886,Hong Cha-Ok,Female,26,157,81,Italy,Europe,1994,Summer,Weightlifting,Men's 77kg,
887,Hong Sun-Hwa,Male,32,180,94,Japan,Asia,1994,Summer,Gymnastics,Floor Exercise,
888,Hwang Hye-Yeong,Female,31,169,54,Germany,Europe,1994,Summer,Gymnastics,Vault,
889,Hyeon Jeong-Hwa,Male,20,173,93,Russia,Europe,1994,Winter,Skiing,Cross-Country,
890,Jang Hye-Ok,Female,19,188,66,Russia,Europe,1994,Summer,Athletics,Marathon,
891,Kim Ji-Hyeon,Female,33,159,61,Australia,Oceania,1994,Summer,Weightlifting,Women's 58kg,
892,Kim Mi-Hyang,Male,37,186,76,USA,North America,1994,Summer,Weightlifting,Men's 77kg,
893,Kim Sin-Yeong,Female,33,184,51,Germany,Europe,1994,Summer,Gymnastics,Floor Exercise,Bronze
894,Kim Mu-Gyo,Male,36,185,76,Japan,Asia,1994,Summer,Basketball,Men's Tournament,
895,Kim Eun-Ha,Female,19,152,91,Japan,Asia,1994,Summer,Swimming,100m Freestyle,Gold
896,Kim Il-Sun,Male,18,150,92,India,Asia,1994,Summer,Basketball,Women's Tournament,Bronze
897,Lee Heung-Sun,Female,23,190,110,Canada,North America,1994,Summer,Gymnastics,Vault,
898,Lee Jeong-Im,Male,27,154,117,China,Asia,1994,Summer,Weightlifting,Women's 58kg,Gold
899,Lee Jeong-Myeong,Male,20,173,84,China,Asia,1994,Summer,Athletics,Marathon,
900,Park Su-Yeon,Female,29,156,114,South Africa,Africa,1994,Summer,Gymnastics,Vault,
901,Park Hae-Jeong,Male,22,152,75,UK,Europe,1994,Summer,Gymnastics,Floor Exercise,Silver
902,Park Gyeong-Ae,Male,18,176,67,Brazil,South America,1994,Summer,Football,Men's Football,Bronze
903,Park Seong-Hui,Male,22,178,79,UK,Europe,1994,Winter,Ice Hockey,Men's Ice Hockey,Gold
904,Na Gyeong-Min,Female,39,173,93,Japan,Asia,1994,Summer,Swimming,200m Butterfly,Bronze
905,Yu Ji-Hye,Female,27,176,62,UK,Europe,1994,Summer,Swimming,200m Butterfly,
906,Sim Eun-Jeong,Male,39,154,119,Italy,Europe,1994,Winter,Ice Hockey,Women's Ice Hockey,Bronze
907,Yang Yeong-Ja,Male,21,172,113,China,Asia,1994,Summer,Gymnastics,Vault,
908,An Jae-Hyeong,Male,39,158,115,Spain,Europe,1994,Winter,Ice Hockey,Men's Ice Hockey,
909,Jang Ui-Jong,Male,20,155,83,Japan,Asia,1994,Summer,Athletics,Marathon,
910,Ha Tae-Gwon,Male,40,153,65,South Korea,Asia,1994,Summer,Gymnastics,Floor Exercise,
911,Gang Gyeong-Jin,Male,27,189,80,UK,Europe,1994,Summer,Weightlifting,Men's 77kg,Gold
912,Gang Hui-Chan,Female,24,174,61,South Korea,Asia,1994,Summer,Athletics,Marathon,Gold
913,Kim Dong-Mun,Female,29,161,90,Russia,Europe,1994,Summer,Swimming,100m Freestyle,Bronze
914,Kim Hak-Gyun,Male,20,190,109,China,Asia,1994,Summer,Weightlifting,Women's 58kg,
915,Kim Mun-Su,Male,25,178,115,USA,North America,1994,Summer,Gymnastics,Vault,
916,Kim Gi-Taek,Female,21,160,120,UK,Europe,1994,Summer,Athletics,Marathon,
917,Kim Taek-Su,Male,40,162,80,South Africa,Africa,1994,Winter,Skiing,Alpine Skiing,
918,Kim Wan,Male,39,161,106,South Africa,Africa,1994,Winter,Skiing,Cross-Country,Gold
919,Kim Bong-Su,Male,24,191,86,USA,North America,1994,Summer,Basketball,Men's Tournament,
920,Kim Chi-Wan,Female,21,153,52,Japan,Asia,1994,Summer,Gymnastics,Vault,
921,Lee Gwang-Jin,Male,22,189,94,Spain,Europe,1994,Winter,Skiing,Alpine Skiing,Gold
922,Lee Sang-Bok,Male,39,159,114,India,Asia,1994,Summer,Football,Men's Football,Bronze
923,Lee Cheol-Seung,Male,19,174,91,China,Asia,1994,Winter,Skiing,Alpine Skiing,
924,Lee Hyeong-Taek,Female,36,169,81,Japan,Asia,1994,Winter,Skiing,Cross-Country,
925,Park Ju-Bong,Female,27,159,91,Spain,Europe,1994,Summer,Football,Women's Football,
926,Park Seong-U,Female,33,156,103,Australia,Oceania,1994,Summer,Weightlifting,Women's 58kg,
927,Son Jin-Hwan,Male,21,157,57,Russia,Europe,1994,Summer,Basketball,Women's Tournament,Silver
928,Song Dong-Uk,Male,27,161,80,Spain,Europe,1994,Summer,Football,Men's Football,Bronze
929,Yu Yong-Seong,Male,29,179,54,Spain,Europe,1994,Summer,Football,Women's Football,Bronze
930,Yu Nam-Gyu,Female,29,190,68,France,Europe,1994,Summer,Basketball,Men's Tournament,
931,Yu Jin-Seon,Male,23,173,87,USA,North America,1994,Summer,Swimming,100m Freestyle,Silver
932,Yun Yong-Il,Male,28,157,106,Spain,Europe,1994,Summer,Football,Women's Football,
933,Raed Hamdan,Female,30,180,95,France,Europe,1994,Summer,Athletics,200m Sprint,
934,Dukhail Al-Habashi,Male,19,178,59,UK,Europe,1994,Summer,Gymnastics,Vault,
935,Agnese Blumberga,Male,18,164,82,USA,North America,1994,Winter,Ice Hockey,Women's Ice Hockey,
936,Larisa Savčenko-Neilande,Female,40,159,91,UK,Europe,1994,Summer,Basketball,Women's Tournament,
937,Attaher Mohamed El-Mahjoub,Male,32,177,91,Spain,Europe,1994,Summer,Athletics,100m Sprint,Bronze
938,Larissa Chouaib,Female,29,153,89,France,Europe,1994,Summer,Basketball,Men's Tournament,
939,Rūta Garkauskaitė-Paškauskienė,Female,39,156,76,Australia,Oceania,1994,Summer,Gymnastics,Floor Exercise,Silver
940,Anne Kremer,Male,36,177,54,South Africa,Africa,1994,Summer,Swimming,100m Freestyle,
941,Camille Wolff,Female,33,153,68,South Africa,Africa,1994,Summer,Basketball,Women's Tournament,
942,Dally Randriantefy,Male,25,177,70,Germany,Europe,1994,Summer,Swimming,200m Butterfly,
